t,l1,l2,l3,num_cells,cm_x,cm_y,cm_z,shape_velocity,l1_micro,l2_micro,l3_micro
80,530.75,2.129672329872533e-15,-3.5331549047228305e-16,2,140.5,269.5,18.5,157.5,1.6056883953169034,0.5224479139182295,
81,396.5,4.348938204472838e-16,-4.348938204472838e-16,2,142.5,270.0,18.5,134.25,-2.0562627348649016,0.25108398531509485,
82,512.75,5.438763485207118e-16,-1.432054768220837e-15,2,149.5,269.5,18.5,116.25,-0.1960343219046159,0.03261150544973755,
83,742.0,1.794413996707218e-15,-9.062355770070932e-16,2,151.0,273.0,18.0,229.25,3.3017930275805725,-0.5840398391881177,
84,844.25,7.246143556163392e-15,-1.0288946182625143e-15,2,152.0,277.5,18.0,102.25,2.8876368453839767,-1.2899412025121855,
85,1132.5,1.6734008562021325e-16,-1.3490016381122091e-14,2,153.5,274.5,18.0,288.25,5.073355848180547,-1.9244670463591462,
86,656.5,0.0,-8.881784197001252e-16,2,149.5,264.0,17.5,476.0,-5.020021444568947,-2.584421768144419,
87,766.2220429055391,8.889068205571935,-6.329572283262449e-16,3,150.0,260.6666666666667,16.666666666666668,110.08152539335684,-5.260831171325432,-0.25632541211336113,
88,1111.252504791064,14.061803785768738,0.12319142316723154,4,156.25,265.0,17.5,345.0692568144083,-1.9602652437820254,0.03225005740374254,
89,1189.3491018252912,47.7366795480371,0.03921862667152495,4,159.25,264.5,17.25,85.04753245897983,-2.883881181032187,2.745180446285593,
90,1478.4967771983388,62.99924442640908,0.003978375252161645,4,160.5,262.5,17.0,289.5502120568713,-0.881792800900115,3.3849234198602245,
91,1943.5952955069158,33.26454067804366,1.5776638150405193,4,163.75,263.0,16.5,466.0507062817309,2.411364726749291,0.8049970600661043,
92,2414.741380239958,74.92711286235328,3.4565068976884565,4,167.25,261.75,16.5,472.988301262956,5.5565598074523805,3.3999539838205903,
93,2397.365642019201,22.49454430652573,1.7648136742730618,4,167.75,256.5,16.75,55.2625763970517,3.5059864544643204,-0.8747072189611202,
94,2358.2378997343235,13.51171373304755,5.625386532628639,4,167.75,256.0,16.75,40.33082548396794,1.2268007102121175,-2.121148792199187,
95,2246.245166167992,21.27133800648088,0.10849582552713757,4,166.5,255.75,16.75,112.39670913153226,-1.6064513061504329,-1.249197307057286,
96,2256.7122883461357,16.989235139488823,0.48597651437540546,4,167.5,254.25,16.5,11.315455948663391,-3.195971714039061,-1.7623502748811664,
97,2761.462368616071,13.412653111505572,1.062478272423455,4,169.75,253.0,16.5,504.7630808862573,1.0865649387996257,-2.1379698597919194,
98,2551.2246809271537,32.39780353852051,1.9400155343260128,4,170.25,250.75,15.75,211.09498178110542,-1.2741848887922558,-0.052696974339806246,0.27906083693512995
99,2692.677508650733,37.59546990022647,0.4770214490405154,4,172.5,249.5,15.5,141.55584960819473,-0.15954105518369488,0.681376750587237,-0.3703168202661815
100,3032.913001848261,47.89814251036076,1.0638556413779252,4,174.0,252.75,15.75,340.3919509457383,2.901557846377976,1.584085539996166,0.0706701336898995
101,2761.1123659776404,40.43295960407063,0.07967441828908743,4,175.25,252.5,16.25,271.9049157852391,0.20333268907192092,0.8835749411425375,-0.5284845345282875
102,2758.6263698040534,57.16081516329004,1.587815032656538,4,174.75,247.75,16.0,16.978687131162445,-0.01958311022109882,2.0932681479928545,0.49750544283256737
103,2600.0309990080386,33.12326597642065,0.03323501554082915,4,171.5,245.5,16.25,160.4141892971635,-1.8823246541118834,0.011970256270126711,-0.6147622117646538
104,2584.3313696205123,48.66781626505144,1.9383141144358913,4,174.25,240.0,16.5,22.175227912120743,-2.3220651253728306,0.8013148352490784,0.6210034398984335
105,2643.401544470731,53.90542080932394,0.6930347199448902,4,175.5,239.0,16.5,59.31499624014106,-1.6762538463373104,0.6446547590297245,-0.05956273473695406
106,2730.0067479135255,38.25399189415962,1.1142601923144877,4,178.75,234.75,16.0,88.00912408013626,-0.25877408630625354,-1.2272118389001871,0.16791506144968216
107,2738.1876670966117,26.25061096534528,1.1867219380423963,4,175.5,229.75,16.25,14.526315537912748,0.7690561062606776,-2.9815821592574308,0.18702339546430202
108,2848.267571529027,30.361327347354756,0.058601123617580075,4,172.5,226.5,16.25,110.16240740649667,2.672004927126089,-3.3786820198293555,-0.7088240410035527
109,2882.2554787304607,81.36184017997229,0.8201810895666786,4,172.5,220.75,16.0,61.29282298253026,4.397319371574831,-0.9641886283674079,-0.1244562488901445
110,2588.206527219469,125.37142114770322,1.2970516328273176,4,169.75,221.25,16.0,297.32449698466456,2.839755104022828,0.04771400397337899,0.09529120579579864
111,2213.6962277922676,136.79886064572148,2.0674115620109816,4,166.75,219.75,15.25,374.6853936370532,-0.10562750372314866,-0.9236468810285139,0.3429747468997584
112,2113.611421306081,221.16493518352888,1.4111435103907997,4,164.0,217.25,15.0,130.9008545046665,-0.23933757265650968,1.0282869173418074,0.12670761858515855
113,2004.8579834470538,345.93502224997826,0.8319943029678424,4,163.75,220.5,14.75,165.51501529024821,-0.5257370916484092,3.684501731422621,-0.25856996209362837
114,1673.8534504938775,293.3955237963103,2.626025709811806,4,167.75,214.0,14.75,335.15312661826994,-3.501934809268434,1.3845342148541953,0.42006304539683637
115,1615.9653595141795,302.012644817956,1.5844956678639384,4,166.75,214.25,14.25,58.53520852276662,-3.501284326016318,0.7051563201890545,-0.012979096621284825
116,1674.4791645498262,314.79973088254735,1.5961045676258794,4,167.75,212.0,14.25,59.894699970360506,-2.226779526977218,0.19495477029323993,-0.0555618283333843
117,1696.6358710114635,386.8096891352822,1.6169398532545196,4,167.75,208.25,14.25,75.3415832253139,-1.7042385505113131,1.4839402201655858,-0.11122857854515855
118,1753.5489701529502,384.1128983510272,1.3381314960222075,4,166.5,206.5,14.0,56.97763831998312,-1.0888217879559932,1.0303416537836583,-0.35121811267144465
119,2173.259534048535,336.2451865630876,1.6202793883767919,4,168.25,202.5,13.75,422.43147951448424,3.15549943757739,-0.5046054924499828,-0.26550978947274606
120,2139.6702619262696,345.0557964853162,2.873941588413873,5,169.2,203.0,14.6,34.74820452652291,1.9003189378161665,-0.5123317603254804,0.10649696760365579
121,2095.5277443116584,220.35007240362296,2.9555166180524353,6,165.83333333333334,213.83333333333334,13.666666666666666,132.2878911109446,0.28038251566863437,-4.316631970597994,0.07054263439519026
122,2128.524972148295,273.75126091004836,5.584878052767854,6,165.5,217.83333333333334,13.833333333333334,62.828476985806866,-0.37882309973011274,-2.5963559668941905,0.6289846020857521
123,2295.2485265569026,380.2612550523376,2.333968390759163,8,160.125,223.5,14.625,197.86786212131804,0.23545494165296788,0.38535298815913777,-0.2861892525974674
124,2369.586752702009,443.7625800183204,2.0569172796708086,8,159.625,221.75,14.625,97.76843507060194,-0.06990813585423439,1.76165832128153,-0.3874088742980897
125,2372.5167238853596,414.511093379161,4.284682735480062,8,156.25,225.25,14.75,29.48214952581107,-0.7228351125747636,0.8794615664712531,0.20057588830959627
126,2516.8708876827054,423.12610965422584,4.487377663068919,8,156.25,228.125,14.75,144.6111482434333,0.36229679614208976,1.0558222887931556,0.23271893300847513
127,2588.3830347945095,448.88645765685305,5.339882548636649,8,156.75,226.25,14.625,76.0151924179416,0.7930386602673778,1.6290029550455678,0.4357037944278239
128,2600.6531134847964,439.92280424710214,2.502207268100697,8,157.125,226.375,14.375,15.458147188901316,0.8984959780464052,1.1546597736219404,-0.2797887580915688
129,2597.8885028318327,357.19357804631784,3.1210441218487768,8,156.375,227.875,14.125,82.77771982178884,1.1182551730690165,-1.1398842248997738,-0.08732700037594099
130,2615.4043217172893,343.17084127120296,3.39358701150754,8,157.875,224.0,14.125,22.439147432979297,1.2518691720859962,-1.7161071899120195,0.04960383999288731
131,2436.588622164042,399.80960789864974,3.273644937307717,8,155.625,222.25,14.0,187.57136955808772,-0.3846821686602695,-0.4564078505220337,0.057472218789775376
132,2481.698458439623,361.77789661866717,2.80489494171017,8,157.625,222.75,14.125,59.004475408667574,0.46257506380125335,-1.109493280989195,-0.03954039448264024
133,2283.1805300561946,405.68339384354704,1.7142011002587738,8,155.875,225.125,13.875,203.31810098775713,-1.041207730003407,0.38839038798619896,-0.42916215572580874
134,2260.0418241736056,419.4958936502738,2.884157176121108,8,155.5,228.375,13.75,26.973202591669214,-0.9025994279664147,0.901877097722398,0.008148151185929375
135,2253.242554109537,357.7615084707397,2.87093741972246,8,154.0,227.75,13.75,62.10768520610932,-0.7273011880812135,-0.698913877808991,0.047851935177087634
136,2321.4546833505287,418.6546760510847,2.796890598386561,8,153.25,229.875,13.875,91.43783635065664,0.2448709813679386,0.8902670050842119,0.06493347383169912
137,2207.1245177321366,416.30869089295675,3.59804137490571,8,152.375,228.125,13.75,114.35703852084421,-0.8166186022803075,0.7738950669074249,0.29509427685859224
138,2240.859591548352,367.49060497762036,3.2591784740277956,8,149.375,231.75,14.25,59.34117917507418,-0.42929859399016834,-0.4337504244343471,0.14368218871638905
139,2341.5011934139943,392.95108501860136,1.625846567404758,8,148.875,230.625,14.375,103.82502512938218,0.6141097548275312,0.3361259699442307,-0.4151346138274057
140,2199.227146216338,341.1956098511264,3.1709939325349326,8,147.625,229.875,14.0,151.40317432666996,-0.9148807137564177,-0.7676107122825719,0.07270309015897203
141,2253.233926615875,304.13229324146914,3.2431551426552265,8,149.0,229.875,14.5,65.50135093623463,-0.5428669221704396,-1.5110329576388466,0.036866055968113765
142,2415.349148108384,371.1591177429628,3.0854841486528852,8,148.0,228.375,14.875,175.42509826835362,0.7315716836510049,0.5860936171245008,-0.05387313560928031
143,2571.882679090521,395.74482119809693,2.731874711381148,8,147.875,229.5,15.0,158.45292100732507,1.7798593521906056,1.624028096626656,-0.20553582106528556
144,2535.1239665298435,367.00052933095077,3.7348791392054355,8,145.875,230.0,15.0,46.673796523792895,0.9078674347302425,1.2046411739232958,0.04332963308117854
145,2435.133783593151,305.9055008248264,2.773215582022702,8,143.75,230.25,15.25,117.18175621091636,-0.6220211818801715,-0.2614662997754067,-0.2690721708656538
146,2459.3186512758375,302.0343377747891,5.490760949373505,8,144.125,230.375,15.5,24.64302702617205,-0.9251661497287458,-0.04127764647161314,0.3500457687352052
147,2491.2901084286214,232.04162527689923,5.512016294480017,8,143.125,227.625,15.5,76.94903720693495,-1.1428296379204497,-1.9248183800524803,0.31541600563934713
148,2528.6737522061603,262.5738210782962,4.111801715542047,8,142.5,230.875,15.5,48.2878080203258,-1.2563171300236036,-0.7229684972110704,-0.06170713727521715
149,2673.940044669832,296.231093077813,3.578862252355137,8,143.5,230.0,15.0,149.11536375927815,-0.3875770858636045,0.5924669682715091,-0.2561317376323904
150,2913.3955764642856,276.7008473523867,5.356701183327333,8,142.375,231.375,15.375,240.25724321302914,1.2522768260951338,0.21360087642514003,0.1622752265818055
151,3060.118051068629,246.37166957371474,4.104029357658083,8,143.125,231.625,15.5,149.82961244512157,2.0875230596483547,-0.46575420984490457,-0.14164706716555786
152,2862.7152372473674,257.54715361148,5.175109141152962,8,142.0,233.0,15.25,197.72179839343113,-0.24098343391494126,0.23113022346394985,0.11259902286698864
153,2960.743169866027,275.7901847250706,5.138520408902252,8,142.0,236.625,15.25,99.71100790000689,0.13078724484831383,1.0010815298705733,0.13303365629067088
154,2930.9905494126256,264.8955665008135,4.3951340865589446,8,141.125,235.25,15.625,31.693276153164216,-0.5804472560689007,0.8389428861686188,-0.00915641348563545
155,2963.3275227932213,224.8716279511879,4.878974255591017,8,139.875,233.125,15.125,51.457065654298,-0.6038790205588782,-0.3518446756009812,0.11522656725819092
