t,l1,l2,l3,num_cells,cm_x,cm_y,cm_z,shape_velocity,l1_micro,l2_micro,l3_micro,cluster
61,4850.378030758541,510.8469581582223,21.7281360832365,8,268.875,170.375,18.125,933.5136861166653,1.920164797041764,-1.4672108520368532,0.21024818718710225,0
62,4721.436737774054,636.930540167333,23.085847058613528,8,272.625,167.375,18.375,180.3462504956847,1.1059876512321694,-0.33889802958519866,0.19824347311871016,0
63,5094.879981594737,794.6325726155768,26.409320789685463,8,270.625,168.0,18.25,405.38972960752506,3.5193976676926155,1.5364762430979688,0.3917995203724338,0
64,5126.934575891937,805.4355468348919,24.114252273172674,8,272.375,165.5,18.5,33.90381404852233,3.2820884418945013,0.6242270464206463,0.04663377834465976,0
65,4620.872773578538,892.4057218234639,23.2527545979985,8,272.125,167.25,18.625,513.4813543610646,-0.48508865937414214,1.4455431790449005,-0.13462067505135078,0
66,4712.225587908772,979.906009068377,23.727778022850426,8,274.25,167.75,18.625,126.49846877037929,0.16881558172634925,2.630826888136639,-0.11700803240718827,0
67,4532.438858051581,888.884892899722,23.660624048697162,8,268.125,170.75,18.75,201.5145561268133,-0.9900848352822891,1.2534040133210063,-0.14000601883045594,0
68,4319.585443254515,799.6596527971657,24.598653948318816,8,269.375,167.875,18.5,230.79991239648075,-2.670745271610201,-0.027958622022072888,-0.03986962072182809,0
69,4545.251808772513,756.6456244343808,26.383816793106412,8,264.75,171.125,18.375,229.7361572945792,-1.1327431896468312,-0.47148940878754075,0.20000675581710858,0
70,4497.512530790296,592.4863150774138,24.485529132289628,8,261.25,172.75,18.125,170.97052671985006,-1.1859945529917582,-3.242052996762361,0.07306498732943467,0
71,4611.374597033957,742.9866459605408,21.935632005502207,8,261.875,175.75,18.0,188.73638149695378,0.23092843398499951,0.32896026007708556,-0.18527622801041144,0
72,4820.671267794065,682.3786425449331,23.35633966100237,8,256.125,176.25,18.125,217.90008003562966,1.917108581303438,-0.11587242441132162,-0.011110148029986888,0
73,4652.503813594427,663.5483531795467,23.150958226025185,8,254.625,177.125,18.125,169.21854103822486,0.9322487005491098,0.2036948886264014,0.00738363322773683,0
74,4653.360889401531,580.4849656674776,22.747894930992267,8,254.0,175.125,17.625,83.06878706192283,0.9873658902113789,-0.8731314745235146,-0.030249041714582425,0
75,4670.944084034476,581.5468250833836,21.368465882140477,8,257.25,175.75,17.625,17.669156839532654,1.0219610329805704,-0.27088613661845784,-0.160736434921823,0
76,4334.466247103053,599.1609977277803,24.71650516916587,8,259.375,173.875,17.5,336.9551946343358,-1.5592744244451069,0.5383141533912337,0.19965109985822593,0
77,4506.700084523492,597.1677426428986,22.069672833609054,8,257.5,173.5,17.75,172.26570622098848,-0.2969700439017515,0.7916518421352414,-0.0344898857510163,0
78,4367.116262177746,500.0218501231236,22.08063769913218,8,261.375,172.5,17.625,170.06165944839148,-1.1782097325042713,-1.133290379628594,0.011083386577070975,0
