t,l1,l2,l3,num_cells,cm_x,cm_y,cm_z,shape_velocity,l1_micro,l2_micro,l3_micro
89,2165.2737424365587,112.80428849569883,0.35946906774250575,4,182.5,347.0,18.25,182.16079900814717,0.7479519083101849,,
90,2441.210203424588,127.9180190154529,1.7467775599593343,4,182.25,347.0,18.25,276.35354164127267,1.2997053077935163,,
91,2581.6398070668592,115.97092137662868,0.9517715565121547,4,182.75,348.75,18.75,140.93913138536962,0.9840306475819887,,
92,2699.463176114071,147.2943485972545,0.11747528867425114,4,183.0,346.75,18.25,121.91882314369586,0.4758736234744134,,
93,2741.445474241237,182.28165897206034,0.3353667867029085,4,180.25,344.25,18.75,54.65045946747553,-0.012443076888388305,,
94,2651.633778139177,192.9799830298174,0.07373883100570312,4,178.75,342.0,19.0,90.44701953940096,-1.3210187036978738,-1.2751349048413392,
95,2686.696272365674,334.35267667187355,0.07605096245268757,4,180.5,343.25,18.75,145.6558169601878,-0.9231583316023872,2.4887686792036234,
96,2891.5481867592794,263.28611294077336,0.29070029994754093,4,179.25,343.5,18.25,216.82898649767677,1.3471630284816172,0.47738168672373327,
97,2742.426302887933,241.13619519821773,1.913849006504273e-06,4,178.75,341.25,18.75,150.75821573265227,1.03879713450209,-0.10700303267774025,-0.41748722108333386
98,3151.1689407966396,232.29044788811635,0.22811131524393163,4,178.0,339.25,19.0,408.83840734933534,5.830156356875037,-0.047733133788938176,0.17187229032021023
99,2513.3554669733544,244.30478637150406,0.21474665514173888,4,175.75,336.0,19.25,637.9266195247963,1.1766402132131546,0.933140863446269,0.270585749707666
100,2318.4156792684744,237.88026498516913,0.32905574635668494,4,176.75,335.5,19.75,195.04565714733434,0.920688051457816,1.5319197497633184,0.3326906288235471
101,2042.011970141301,192.59495475721485,0.018075101484570033,4,176.25,336.25,19.5,280.08903307816723,-0.610240978590447,0.9491534110567734,-0.29461545995949956
102,1671.1917366347882,167.247467571407,0.24829579380444017,4,173.5,332.25,19.5,371.6856113518877,-3.5743780607129025,1.2486229713193655,-0.03298489234500657
103,1679.7504603877528,106.8677317901129,0.5068078221342538,4,171.25,333.5,19.75,60.98385912491303,-2.2562520903094025,-0.0006197230398825582,0.032965418763874155
104,1648.143035867806,75.95547916968681,0.3389849625068286,4,168.75,330.0,19.5,44.21113899647222,-1.5862403245686139,-0.2812269771601059,-0.14905687820758873
105,1632.435437191084,23.127036321231255,2.6487685369822902e-05,4,167.75,332.25,19.75,55.115224056780775,-0.8712416867730397,-2.8379910995397477,-0.7412099062475306
106,1467.1837861095928,33.518111278654644,0.9231026117524238,4,164.5,328.75,19.25,165.58059878337357,-2.5026760068676097,-0.6951787102311808,0.16379368848258313
107,1734.9359158453947,20.0014828435325,0.00010131107217871737,4,167.0,328.5,19.75,268.0946738630066,0.6961769517161329,-0.9868285543461646,-0.8182708571117383
