t,l1,l2,l3,num_cells,shape_velocity,l1_micro,l2_micro,l3_micro,cluster,state
0,17449.56427136757,5675.610560708347,0.2626679240774229,4,0.0,-1.5931243947382825,-3.492541931286823,0.6624200563729594,2,1
1,16894.292742128364,6522.624314255527,0.3329436161066059,4,1012.7974994145677,1.3732095965563076,5.5556733487971,0.1429956002788756,2,1
2,15667.358398785924,5920.45463336872,0.061967845356243334,4,1366.739287823516,0.5007380359041917,4.413256250211475,-0.7302299316517047,2,1
3,14977.186666506856,5229.428160385307,0.01017310784137023,4,976.6548054884494,0.6083714240091069,1.6155765413508192,-1.3846970063869983,2,1
4,13484.80693479969,4553.944758448855,6.526084529230929,6,1638.1445439898291,-3.6856211575751274,-2.1256856767494554,0.6013880594444336,1,0
5,15031.881666696621,3939.111977168615,8.811911690320123,6,1664.7716960642288,3.9338694458400454,-6.3946784622744275,0.5862744088760738,1,0
6,14579.349681848991,3307.5790628966815,5.654588587660887,6,776.9356394245996,2.4972935391706415,-11.730493231238661,-0.39458914806143675,1,0
7,13658.311208789104,4267.273006012073,11.109662749845453,7,1330.1707000016845,-1.5636749619986574,-4.436908789918576,0.2089102115928414,1,0
8,14741.28413891027,5788.546948202579,13.964831254492807,7,1867.3813018637245,2.2968880427767857,5.470203027858645,0.2996776547220419,2,1
9,13681.761769903162,6360.098299305959,14.588910382719924,7,1203.8517295951744,-3.223461052068643,8.057518459520097,0.10777364431896652,2,1
10,13377.2363748402,6565.8934779924,17.931371657191086,7,367.5575381572364,-5.891408288926911,8.130107971881316,0.2868332721541833,2,1
11,15157.067542808134,5537.292617884837,19.81171430702849,8,2055.6804838234466,0.3042513462156222,1.0641619510039533,0.2581544981537309,2,1
12,16033.78614365912,5793.691163620498,19.94456772038101,8,913.4416987326014,2.492373852287841,1.8217351166600508,0.11007299269268245,2,1
13,16403.11270333987,5638.522952077932,15.489344582198411,8,400.62342738805023,2.837090513365297,-0.1817808390226645,-0.46059258808839987,2,1
14,16358.68559099156,5887.661434374699,15.215474633747268,8,253.0688180663401,1.4994588003708031,0.7040356734098481,-0.4459745113024054,2,1
15,17238.10112026797,6157.326468066123,19.9005366659087,8,919.8439287914827,4.30424586815127,2.2045671267375724,0.045369587942991174,2,1
16,17387.288934291755,5882.714495491501,23.871570216745287,8,312.5452102368273,3.94785818120468,0.7769671205595614,0.4141528037953712,2,1
17,15618.397090379896,4827.431844271449,20.405440348651158,8,2059.7601422204916,-3.715808392185707,-5.2554172303345155,0.07131664063069909,2,1
18,17356.633045214683,4709.44390870462,17.553046080698554,10,1742.2380789584372,2.7866065642258206,-5.066873638839681,-0.23063928866066874,2,1
