t,l1,l2,l3,num_cells,cm_x,cm_y,cm_z,shape_velocity,l1_micro,l2_micro,l3_micro
86,2672.75,1.140514128450626e-13,-1.2527535431467145e-15,2,210.5,227.5,13.5,24.25,-0.06745325847490591,,
87,2007.7253232030585,30.05245457471956,7.44182923621063e-17,3,197.33333333333334,213.66666666666666,12.0,665.703365452543,-8.535029946154026,,
88,2817.215159263279,112.97085387898001,0.18898685774101992,4,211.25,226.0,13.25,813.7255626708651,-1.698219525710769,,
89,3058.365622442905,158.74138841307277,0.4554891440220087,4,210.25,226.75,12.75,245.45581831921066,-0.37915159886626526,,
90,3402.893763049734,169.7553217052485,1.038415245017375,4,209.25,227.0,13.0,344.7046361733514,1.9159274986654182,,
91,3599.2863450728987,257.08175961888054,1.8193953082216678,4,207.5,227.5,12.75,214.93385717998936,2.8043578592607403,,
92,3644.58706275217,319.0152164133653,3.022720834464559,4,207.5,226.25,12.75,76.74214021705058,2.4230386264339003,,
93,3521.721887484515,286.4014055355042,3.0017069799804337,4,206.5,222.75,12.75,127.12007077999358,0.9367023422636009,,
94,3456.7141319918596,271.40811650444573,2.3152515036945087,4,206.0,219.5,12.25,66.71790023136684,-0.11635968745852665,2.1372932874286583,
95,3526.9343909040963,205.74524002072738,1.4453690751760693,4,206.75,219.75,12.5,96.1418473156047,0.18286215705752795,0.4651727813952089,
96,3322.897967037171,99.33870562115656,2.950827341672346,4,205.0,219.75,12.0,230.12057542063212,-1.6418459663997282,-3.203950313449077,
97,3375.5520259091854,90.49603531222894,2.7019387785853795,4,208.5,222.0,12.0,53.39199077958036,-1.1340083817421984,-2.3678284204590696,0.16442518273427664
98,3365.133263940271,83.90568928786725,2.211046771862097,4,210.0,224.0,11.5,12.337918651376595,-0.28854889490706626,-1.4572863952904118,0.09564482545358421
99,3333.5478039589216,106.04045839130669,1.5992376497712932,4,212.0,228.0,11.25,38.57413117489316,0.24065394888770442,0.8186000064876797,0.010993983178838151
100,3240.387460981262,64.2786112973424,1.4589277213957417,4,213.5,234.75,11.25,102.09270817884513,0.49446672250874,-0.36789459147059667,0.08032599893633119
101,3132.60919600501,28.87306763394461,0.9552363610461764,4,212.5,240.25,11.0,113.44584888121058,0.5493528273065422,-1.5764974658917161,-0.019889441341854552
102,2967.221740234984,35.64576847940968,1.5699912856066203,4,214.0,244.25,11.5,165.52721204213444,0.2420077196759607,0.10397432286543218,0.36602057837399926
103,2754.287764608848,15.061318491225622,0.08841689992602181,4,213.0,246.75,11.5,213.93174757367848,-0.33227522851561986,-1.3058657678375236,-0.5617392034884108
104,2641.7760727808723,48.61450902152331,0.04691819760426164,4,211.25,246.0,11.5,117.40825829088081,0.3588593086325247,2.1324525027269328,-0.6053134713884412
105,2616.9564444814705,45.283636336298116,0.8224191822311543,4,213.25,247.25,11.25,25.054142642341628,1.8348477438618858,1.8608144795898864,0.10531780183872474
106,2499.2591573750724,13.457758151479782,0.3455844734472412,4,216.75,245.25,10.75,121.92524466155605,2.3525528437505656,-1.2246796711550823,-0.22730825397074572
107,2203.5619706738157,19.978832319649584,0.8966970065345623,4,214.75,244.5,11.0,295.76959674105916,0.9267641760500851,-0.2431692394415199,0.07239530112497161
108,1964.3756039112648,11.9618942142335,0.350001874501981,4,213.75,246.0,11.0,239.32130748686586,-0.6133609899740051,-0.9137320323502394,-0.36276012216544695
109,1780.3653757092156,9.036742830578174,1.4728814602058022,4,211.75,241.0,11.25,184.03690241946447,-2.1906311748183853,-1.127047703245855,0.2094009137316284
110,1749.4909552816684,4.826434934884719,1.0576097834467288,4,209.0,244.25,11.25,31.16294241369066,-1.6959213446883652,-1.9136655575613446,-0.015802557641176884
111,1517.0374812454488,50.87917229922336,1.7083464553281698,4,215.25,247.75,11.5,236.9723521182847,-4.07965750550018,2.9670447272459333,0.2907794161120971
112,1546.875528831349,55.576629125323386,2.2353420433276505,4,217.5,248.25,11.5,30.21014579112922,-3.3632738309165973,3.045365387260306,0.5047609344633229
113,1674.628963071771,56.17384958592808,0.9471873423005572,4,220.5,253.5,11.5,127.76132425360272,-1.7318932859188152,2.4521587614516376,-0.010679626295897138
114,2019.8074201254635,37.12433856898908,2.0057413055473305,4,218.0,253.5,11.25,345.70532483669587,2.159927543823393,0.4467894691003682,0.4989988914873895
115,2025.713670399974,15.342619504266013,1.8187100957598357,4,217.25,258.0,11.25,22.569050897038416,1.8852772424189865,-2.8750213307156267,0.4927240161847226
116,2282.822591772383,24.333165854686026,0.4067423729308667,4,214.75,264.25,11.75,257.26993805303596,4.154633815676412,-3.304469482946587,-0.20194823317934096
117,2417.256691382724,33.4652116329337,0.2155969843418203,4,221.25,259.0,11.5,134.74404600834387,4.7325589816937,-3.966808334527422,-0.3553819923507361
118,2084.7478700616407,105.12146006551163,0.00566987284779931,4,219.0,260.25,11.75,340.1422912034897,0.3793387138219373,-1.2774464641715166,-0.7175596378352919
119,1628.7542354678935,159.3020757939297,0.06868873817683534,4,215.25,258.5,11.25,459.2011954275639,-5.703921671413546,-0.7065002772788507,-0.4651384024638505
120,2263.327925816575,268.02666619124767,0.0054079921772032255,5,224.8,254.4,12.2,643.8204788947471,0.7133732435328142,1.2850315342658867,-0.6548046105036809
121,2171.680147491401,389.3311559427093,1.0164743436681858,6,225.33333333333334,266.5,11.333333333333334,152.03656389490587,-1.2375036997308086,2.9721063720762544,0.2957399682607461
122,2366.9090735720447,420.5272811014422,0.9247564376240999,6,224.0,270.1666666666667,11.333333333333334,197.70569090366388,0.06407058844192193,1.768888830780405,0.22275634561725577
123,2349.8619557195498,436.1017241442428,1.5640979139850097,6,222.16666666666666,276.1666666666667,11.5,23.09926970044043,-0.6616121031098956,0.1070969227408689,0.4508560180519451
